business_name,niche,city_search,website_url,website_score,validated_phone,validated_email,facebook_url,instagram_url,status,email_status,email_reason
e. shaver bookseller,Georgia,"Savannah, GA",None,1,912.234.7257,eshavers@gmail.com,https://www.facebook.com/eshaver.bookseller,https://www.instagram.com/e.shaver_bookseller,NO_WEBSITE,RISKY,Free provider (gmail.com)
picker joe's,Georgia,"Savannah, GA",None,1,912.239.4657,pickerjoes@gmail.com,https://www.facebook.com/search/top/?q=picker%20joe%27s%20Savannah,,NO_WEBSITE,RISKY,Free provider (gmail.com)
HOSTESS PROVISIONS,Georgia,"Savannah, GA",None,1,N/A,meta@hostessprovisions.com,https://www.facebook.com/search/top/?q=HOSTESS%20PROVISIONS%20Savannah,,NO_WEBSITE,VALID,Business email (hostessprovisions.com)
The Frayed Knot,Georgia,"Savannah, GA",None,1,912.233.1240,Thefrayedknotsav@yahoo.com,https://www.facebook.com/TheFrayedKnot,https://www.instagram.com/thefrayedknot,NO_WEBSITE,RISKY,Free provider (yahoo.com)
scribble art studio,Georgia,"Savannah, GA",None,1,912.713.7376,savscribbleartstudio@gmail.com,https://www.facebook.com/search/top/?q=scribble%20art%20studio%20Savannah,,NO_WEBSITE,RISKY,Free provider (gmail.com)
Kirchhoff's Bakery & Deli,Kentucky,"Paducah, KY",None,1,(270) 442-7117,kirchhoffsbakery@gmail.com,https://www.facebook.com/search/top/?q=Kirchhoff%27s%20Bakery%20%26%20Deli%20Paducah,,NO_WEBSITE,RISKY,Free provider (gmail.com)
Artisan Kitchen,Kentucky,"Paducah, KY",None,1,(270) 538-0250,artisankitchenbakery@gmail.com,https://www.facebook.com/search/top/?q=Artisan%20Kitchen%20Paducah,,NO_WEBSITE,RISKY,Free provider (gmail.com)
Wurth Farms,Kentucky,"Paducah, KY",None,1,(270) 519-7024,wurthfarms@comcast.net,https://www.facebook.com/search/top/?q=Wurth%20Farms%20Paducah,,NO_WEBSITE,RISKY,Free provider (comcast.net)
Barkley Hills Honey,Kentucky,"Cadiz, KY",None,1,270-889-3939,barkleyhillshoney@gmail.com,https://www.facebook.com/search/top/?q=Barkley%20Hills%20Honey%20Cadiz,,NO_WEBSITE,RISKY,Free provider (gmail.com)
Papa Brown's,Kentucky,"Paducah, KY",None,1,270-436-6400,rlbrown@wk.net,https://www.facebook.com/search/top/?q=Papa%20Brown%27s%20Paducah,,NO_WEBSITE,RISKY,Free provider (wk.net)
