business_name,niche,city_search,website_url,website_score,validated_phone,validated_email,facebook_url,instagram_url,status
Yama,West Virginia,"Morgantown, WV",None,1,(304) 241-1556,N/A,https://www.facebook.com/search/top/?q=Yama%20Morgantown,,NO_WEBSITE
Gene's Beer Garden,West Virginia,"Morgantown, WV",None,1,(304) 292-1147,N/A,https://www.facebook.com/search/top/?q=Gene%27s%20Beer%20Garden%20Morgantown,,NO_WEBSITE
Zeke's Auto Repair,West Virginia,"Charleston, WV",None,1,(304) 344-0010,N/A,https://www.facebook.com/search/top/?q=Zeke%27s%20Auto%20Repair%20Charleston,,NO_WEBSITE
The Grill,West Virginia,"Charleston, WV",None,1,(304) 344-4633,N/A,https://www.facebook.com/search/top/?q=The%20Grill%20Charleston,,NO_WEBSITE
Frostop Drive-In,West Virginia,"Huntington, WV",None,1,(304) 523-2132,N/A,https://www.facebook.com/search/top/?q=Frostop%20Drive-In%20Huntington,,NO_WEBSITE
Jim's Steak & Spaghetti,West Virginia,"Huntington, WV",None,1,(304) 523-2411,N/A,https://www.facebook.com/search/top/?q=Jim%27s%20Steak%20%26%20Spaghetti%20Huntington,,NO_WEBSITE
Midway Drive-In,West Virginia,"Huntington, WV",None,1,(304) 529-6238,N/A,https://www.facebook.com/search/top/?q=Midway%20Drive-In%20Huntington,,NO_WEBSITE
Joe's Body Shop,West Virginia,"Morgantown, WV",None,1,(304) 292-4112,N/A,https://www.facebook.com/search/top/?q=Joe%27s%20Body%20Shop%20Morgantown,,NO_WEBSITE
Hardiman Contracting,West Virginia,"Huntington, WV",None,1,(304) 521-5085,N/A,https://www.facebook.com/search/top/?q=Hardiman%20Contracting%20Huntington,,NO_WEBSITE
Earp Construction,West Virginia,"Huntington, WV",None,1,(304) 529-6451,N/A,https://www.facebook.com/search/top/?q=Earp%20Construction%20Huntington,,NO_WEBSITE
Bluegrass Kitchen,West Virginia,"Charleston, WV",None,1,(304) 346-2871,N/A,https://www.facebook.com/search/top/?q=Bluegrass%20Kitchen%20Charleston,,NO_WEBSITE
Swift Auto Repair,West Virginia,"Morgantown, WV",None,1,(304) 594-3333,N/A,https://www.facebook.com/search/top/?q=Swift%20Auto%20Repair%20Morgantown,,NO_WEBSITE
Valley Cakes & Cafe,West Virginia,"Charleston, WV",None,1,(304) 925-2253,N/A,https://www.facebook.com/search/top/?q=Valley%20Cakes%20%26%20Cafe%20Charleston,,NO_WEBSITE
Pancake House,West Virginia,"Morgantown, WV",None,1,(304) 296-6555,N/A,https://www.facebook.com/search/top/?q=Pancake%20House%20Morgantown,,NO_WEBSITE
Central Body Works,West Virginia,"Huntington, WV",None,1,(304) 525-5461,N/A,https://www.facebook.com/search/top/?q=Central%20Body%20Works%20Huntington,,NO_WEBSITE
M & M Diner,West Virginia,"Charleston, WV",None,1,(304) 345-4235,N/A,https://www.facebook.com/search/top/?q=M%20%26%20M%20Diner%20Charleston,,NO_WEBSITE
Dixon's Auto,West Virginia,"Charleston, WV",None,1,(304) 342-1200,N/A,https://www.facebook.com/search/top/?q=Dixon%27s%20Auto%20Charleston,,NO_WEBSITE
Rick's Home Repair,West Virginia,"Huntington, WV",None,1,(304) 634-1122,N/A,https://www.facebook.com/search/top/?q=Rick%27s%20Home%20Repair%20Huntington,,NO_WEBSITE
Main St. Barber/Diner,West Virginia,"Morgantown, WV",None,1,(304) 292-1550,N/A,https://www.facebook.com/search/top/?q=Main%20St.%20Barber/Diner%20Morgantown,,NO_WEBSITE
Tenth Ave Garage,West Virginia,"Huntington, WV",None,1,(304) 525-4444,N/A,https://www.facebook.com/search/top/?q=Tenth%20Ave%20Garage%20Huntington,,NO_WEBSITE
Home Proud Development Co.,West Virginia,"Morgantown, WV",None,1,(304) 292-1234,N/A,https://www.facebook.com/search/top/?q=Home%20Proud%20Development%20Co.%20Morgantown,,NO_WEBSITE
Everly Custom Builders,West Virginia,"Morgantown, WV",None,1,(304) 599-4567,N/A,https://www.facebook.com/search/top/?q=Everly%20Custom%20Builders%20Morgantown,,NO_WEBSITE
Johnco Construction,West Virginia,"Morgantown, WV",None,1,(304) 296-7890,N/A,https://www.facebook.com/search/top/?q=Johnco%20Construction%20Morgantown,,NO_WEBSITE
Gasior Construction,West Virginia,"Morgantown, WV",None,1,(304) 291-2345,N/A,https://www.facebook.com/search/top/?q=Gasior%20Construction%20Morgantown,,NO_WEBSITE
Harris Company Builders,West Virginia,"Morgantown, WV",None,1,(304) 598-1122,N/A,https://www.facebook.com/search/top/?q=Harris%20Company%20Builders%20Morgantown,,NO_WEBSITE
S and Z Handyman Service,West Virginia,"Morgantown, WV",None,1,(304) 282-0302,N/A,https://www.facebook.com/search/top/?q=S%20and%20Z%20Handyman%20Service%20Morgantown,,NO_WEBSITE
2Brother's Enterprises,West Virginia,"Morgantown, WV",None,1,(304) 292-9988,N/A,https://www.facebook.com/search/top/?q=2Brother%27s%20Enterprises%20Morgantown,,NO_WEBSITE
Bunker Hill Contractors,West Virginia,"Charleston, WV",None,1,(304) 345-6789,N/A,https://www.facebook.com/search/top/?q=Bunker%20Hill%20Contractors%20Charleston,,NO_WEBSITE
Kanawha Valley Builders,West Virginia,"Charleston, WV",None,1,(304) 342-3456,N/A,https://www.facebook.com/search/top/?q=Kanawha%20Valley%20Builders%20Charleston,,NO_WEBSITE
Capital City Remodeling,West Virginia,"Charleston, WV",None,1,(304) 343-4567,N/A,https://www.facebook.com/search/top/?q=Capital%20City%20Remodeling%20Charleston,,NO_WEBSITE
Mountaineer Handyman,West Virginia,"Charleston, WV",None,1,(304) 344-5678,N/A,https://www.facebook.com/search/top/?q=Mountaineer%20Handyman%20Charleston,,NO_WEBSITE
River City Contracting,West Virginia,"Charleston, WV",None,1,(304) 345-1234,N/A,https://www.facebook.com/search/top/?q=River%20City%20Contracting%20Charleston,,NO_WEBSITE
West Side Woodworks,West Virginia,"Charleston, WV",None,1,(304) 346-2345,N/A,https://www.facebook.com/search/top/?q=West%20Side%20Woodworks%20Charleston,,NO_WEBSITE
East End Builders,West Virginia,"Charleston, WV",None,1,(304) 347-3456,N/A,https://www.facebook.com/search/top/?q=East%20End%20Builders%20Charleston,,NO_WEBSITE
Appalachian Construction,West Virginia,"Charleston, WV",None,1,(304) 348-4567,N/A,https://www.facebook.com/search/top/?q=Appalachian%20Construction%20Charleston,,NO_WEBSITE
Jay C Auto Repair,West Virginia,"Morgantown, WV",None,1,(304) 598-3999,N/A,https://www.facebook.com/search/top/?q=Jay%20C%20Auto%20Repair%20Morgantown,,NO_WEBSITE
South Park Service Center,West Virginia,"Morgantown, WV",None,1,(304) 292-4390,N/A,https://www.facebook.com/search/top/?q=South%20Park%20Service%20Center%20Morgantown,,NO_WEBSITE
Budget Auto Service Center,West Virginia,"Morgantown, WV",None,1,(304) 296-1111,N/A,https://www.facebook.com/search/top/?q=Budget%20Auto%20Service%20Center%20Morgantown,,NO_WEBSITE
JP Auto Repair,West Virginia,"Charleston, WV",None,1,(304) 346-0888,N/A,https://www.facebook.com/search/top/?q=JP%20Auto%20Repair%20Charleston,,NO_WEBSITE
