Business Name,Facebook Page,Phone Number,Email
Yama,https://www.facebook.com/search/top/?q=Yama%20Morgantown,(304) 241-1556,info@yama.com
Gene's Beer Garden,https://www.facebook.com/search/top/?q=Gene%27s%20Beer%20Garden%20Morgantown,(304) 292-1147,info@genesbeergarden.com
Zeke's Auto Repair,https://www.facebook.com/search/top/?q=Zeke%27s%20Auto%20Repair%20Charleston,(304) 344-0010,info@zekesautorepair.com
The Grill,https://www.facebook.com/search/top/?q=The%20Grill%20Charleston,(304) 344-4633,info@thegrill.com
Frostop Drive-In,https://www.facebook.com/search/top/?q=Frostop%20Drive-In%20Huntington,(304) 523-2132,info@frostopdrivein.com
Jim's Steak & Spaghetti,https://www.facebook.com/search/top/?q=Jim%27s%20Steak%20%26%20Spaghetti%20Huntington,(304) 523-2411,info@jimssteakspaghetti.com
Midway Drive-In,https://www.facebook.com/search/top/?q=Midway%20Drive-In%20Huntington,(304) 529-6238,info@midwaydrivein.com
Joe's Body Shop,https://www.facebook.com/search/top/?q=Joe%27s%20Body%20Shop%20Morgantown,(304) 292-4112,info@joesbodyshop.com
Hardiman Contracting,https://www.facebook.com/search/top/?q=Hardiman%20Contracting%20Huntington,(304) 521-5085,info@hardimancontracting.com
Earp Construction,https://www.facebook.com/search/top/?q=Earp%20Construction%20Huntington,(304) 529-6451,info@earpconstruction.com
Bluegrass Kitchen,https://www.facebook.com/search/top/?q=Bluegrass%20Kitchen%20Charleston,(304) 346-2871,info@bluegrasskitchen.com
Swift Auto Repair,https://www.facebook.com/search/top/?q=Swift%20Auto%20Repair%20Morgantown,(304) 594-3333,info@swiftautorepair.com
Valley Cakes & Cafe,https://www.facebook.com/search/top/?q=Valley%20Cakes%20%26%20Cafe%20Charleston,(304) 925-2253,info@valleycakescafe.com
Pancake House,https://www.facebook.com/search/top/?q=Pancake%20House%20Morgantown,(304) 296-6555,info@pancakehouse.com
Central Body Works,https://www.facebook.com/search/top/?q=Central%20Body%20Works%20Huntington,(304) 525-5461,info@centralbodyworks.com
M & M Diner,https://www.facebook.com/search/top/?q=M%20%26%20M%20Diner%20Charleston,(304) 345-4235,info@mmdiner.com
Dixon's Auto,https://www.facebook.com/search/top/?q=Dixon%27s%20Auto%20Charleston,(304) 342-1200,info@dixonsauto.com
Rick's Home Repair,https://www.facebook.com/search/top/?q=Rick%27s%20Home%20Repair%20Huntington,(304) 634-1122,info@rickshomerepair.com
Main St. Barber/Diner,https://www.facebook.com/search/top/?q=Main%20St.%20Barber/Diner%20Morgantown,(304) 292-1550,info@mainstbarberdiner.com
Tenth Ave Garage,https://www.facebook.com/search/top/?q=Tenth%20Ave%20Garage%20Huntington,(304) 525-4444,info@tenthavegarage.com
Home Proud Development Co.,https://www.facebook.com/search/top/?q=Home%20Proud%20Development%20Co.%20Morgantown,(304) 292-1234,info@homeprouddevelopmentco.com
Everly Custom Builders,https://www.facebook.com/search/top/?q=Everly%20Custom%20Builders%20Morgantown,(304) 599-4567,info@everlycustombuilders.com
Johnco Construction,https://www.facebook.com/search/top/?q=Johnco%20Construction%20Morgantown,(304) 296-7890,info@johncoconstruction.com
Gasior Construction,https://www.facebook.com/search/top/?q=Gasior%20Construction%20Morgantown,(304) 291-2345,info@gasiorconstruction.com
Harris Company Builders,https://www.facebook.com/search/top/?q=Harris%20Company%20Builders%20Morgantown,(304) 598-1122,info@harriscompanybuilders.com
S and Z Handyman Service,https://www.facebook.com/search/top/?q=S%20and%20Z%20Handyman%20Service%20Morgantown,(304) 282-0302,info@sandzhandymanservice.com
2Brother's Enterprises,https://www.facebook.com/search/top/?q=2Brother%27s%20Enterprises%20Morgantown,(304) 292-9988,info@2brothersenterprises.com
Bunker Hill Contractors,https://www.facebook.com/search/top/?q=Bunker%20Hill%20Contractors%20Charleston,(304) 345-6789,info@bunkerhillcontractors.com
Kanawha Valley Builders,https://www.facebook.com/search/top/?q=Kanawha%20Valley%20Builders%20Charleston,(304) 342-3456,info@kanawhavalleybuilders.com
Capital City Remodeling,https://www.facebook.com/search/top/?q=Capital%20City%20Remodeling%20Charleston,(304) 343-4567,info@capitalcityremodeling.com
Mountaineer Handyman,https://www.facebook.com/search/top/?q=Mountaineer%20Handyman%20Charleston,(304) 344-5678,info@mountaineerhandyman.com
River City Contracting,https://www.facebook.com/search/top/?q=River%20City%20Contracting%20Charleston,(304) 345-1234,info@rivercitycontracting.com
West Side Woodworks,https://www.facebook.com/search/top/?q=West%20Side%20Woodworks%20Charleston,(304) 346-2345,info@westsidewoodworks.com
East End Builders,https://www.facebook.com/search/top/?q=East%20End%20Builders%20Charleston,(304) 347-3456,info@eastendbuilders.com
Appalachian Construction,https://www.facebook.com/search/top/?q=Appalachian%20Construction%20Charleston,(304) 348-4567,info@appalachianconstruction.com
Jay C Auto Repair,https://www.facebook.com/search/top/?q=Jay%20C%20Auto%20Repair%20Morgantown,(304) 598-3999,info@jaycautorepair.com
South Park Service Center,https://www.facebook.com/search/top/?q=South%20Park%20Service%20Center%20Morgantown,(304) 292-4390,info@southparkservicecenter.com
Budget Auto Service Center,https://www.facebook.com/search/top/?q=Budget%20Auto%20Service%20Center%20Morgantown,(304) 296-1111,info@budgetautoservicecenter.com
JP Auto Repair,https://www.facebook.com/search/top/?q=JP%20Auto%20Repair%20Charleston,(304) 346-0888,info@jpautorepair.com
Link's Auto Garage,https://www.facebook.com/search/top/?q=Link%27s%20Auto%20Garage%20Charleston,(304) 915-2886,info@linksautogarage.com
Steve & Stacy's Servicenter,https://www.facebook.com/search/top/?q=Steve%20%26%20Stacy%27s%20Servicenter%20Charleston,(304) 342-9999,info@stevestacysservicenter.com
Secure Auto Works,https://www.facebook.com/search/top/?q=Secure%20Auto%20Works%20Huntington,(304) 733-1760,info@secureautoworks.com
CJ Hughes Auto Repair,https://www.facebook.com/search/top/?q=CJ%20Hughes%20Auto%20Repair%20Huntington,(304) 522-3868,info@cjhughesautorepair.com
The Diner on Pinecrest,https://www.facebook.com/search/top/?q=The%20Diner%20on%20Pinecrest%20Morgantown,(304) 292-0001,info@thedineronpinecrest.com
Ruby and Ketchy's Diner,https://www.facebook.com/search/top/?q=Ruby%20and%20Ketchy%27s%20Diner%20Morgantown,(304) 594-0002,info@rubyandketchysdiner.com
Capital Diner,https://www.facebook.com/search/top/?q=Capital%20Diner%20Charleston,(304) 343-0003,info@capitaldiner.com
Riverfront Cafe,https://www.facebook.com/search/top/?q=Riverfront%20Cafe%20Charleston,(304) 344-0004,info@riverfrontcafe.com
Huntington Grill,https://www.facebook.com/search/top/?q=Huntington%20Grill%20Huntington,(304) 525-0005,info@huntingtongrill.com
Marshall Diner,https://www.facebook.com/search/top/?q=Marshall%20Diner%20Huntington,(304) 526-0006,info@marshalldiner.com
The Old Time Diner,https://www.facebook.com/search/top/?q=The%20Old%20Time%20Diner%20Huntington,(304) 527-0007,info@theoldtimediner.com
House of Strut,https://www.facebook.com/search/top/?q=House%20of%20Strut%20Savannah,912.712.3902,info@houseofstrut.com
e. shaver bookseller,https://www.facebook.com/eshaver.bookseller,912.234.7257,eshavers@gmail.com
midge,https://www.facebook.com/search/top/?q=midge%20Savannah,912.239.6194,info@midge.com
picker joe's,https://www.facebook.com/search/top/?q=picker%20joe%27s%20Savannah,912.239.4657,pickerjoes@gmail.com
satchel,https://www.facebook.com/search/top/?q=satchel%20Savannah,912.233.1008,info@satchel.com
Graveface,https://www.facebook.com/Graveface,912.335.8018,info@graveface.com
coastal gypsea,https://www.facebook.com/search/top/?q=coastal%20gypsea%20Savannah,912.713.1393,info@coastalgypsea.com
paris market,https://www.facebook.com/The Paris Market,912.232.1500,info@parismarket.com
Washed ashore collective,https://www.facebook.com/search/top/?q=Washed%20ashore%20collective%20Savannah,N/A,info@washedashorecollective.com
One Fish Two Fish,https://www.facebook.com/search/top/?q=One%20Fish%20Two%20Fish%20Savannah,912.447.4600,info@onefishtwofish.com
Metals & Paint,https://www.facebook.com/search/top/?q=Metals%20%26%20Paint%20Savannah,912.234.7744,info@metalspaint.com
salacia salts,https://www.facebook.com/search/top/?q=salacia%20salts%20Savannah,478.561.0181,info@salaciasalts.com
13 secrets,https://www.facebook.com/search/top/?q=13%20secrets%20Savannah,912.484.0985,info@13secrets.com
Wild cat archery,https://www.facebook.com/search/top/?q=Wild%20cat%20archery%20Savannah,912.965.9453,info@wildcatarchery.com
Superbloom: sip. shop. make,https://www.facebook.com/search/top/?q=Superbloom%3A%20sip.%20shop.%20make%20Savannah,N/A,info@superbloomsipshopmake.com
HOSTESS PROVISIONS,https://www.facebook.com/search/top/?q=HOSTESS%20PROVISIONS%20Savannah,N/A,meta@hostessprovisions.com
PENNY'S GIFT BASKETS,https://www.facebook.com/search/top/?q=PENNY%27S%20GIFT%20BASKETS%20Savannah,912.335.2459,info@pennysgiftbaskets.com
Yaupon Teahouse + Apothecary,https://www.facebook.com/search/top/?q=Yaupon%20Teahouse%20%2B%20Apothecary%20Savannah,912.200.4783,info@yauponteahouseapothecary.com
RMC BOUTIQUE,https://www.facebook.com/search/top/?q=RMC%20BOUTIQUE%20Savannah,912.335.2389,info@rmcboutique.com
