business_name,niche,city_search,website_url,website_score,validated_phone,validated_email,facebook_url,instagram_url,status,email_status,email_reason
Yama,West Virginia,"Morgantown, WV",None,1,(304) 241-1556,N/A,https://www.facebook.com/search/top/?q=Yama%20Morgantown,,NO_WEBSITE,BAD,Missing / N/A
Gene's Beer Garden,West Virginia,"Morgantown, WV",None,1,(304) 292-1147,N/A,https://www.facebook.com/search/top/?q=Gene%27s%20Beer%20Garden%20Morgantown,,NO_WEBSITE,BAD,Missing / N/A
Zeke's Auto Repair,West Virginia,"Charleston, WV",None,1,(304) 344-0010,N/A,https://www.facebook.com/search/top/?q=Zeke%27s%20Auto%20Repair%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
The Grill,West Virginia,"Charleston, WV",None,1,(304) 344-4633,N/A,https://www.facebook.com/search/top/?q=The%20Grill%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
Frostop Drive-In,West Virginia,"Huntington, WV",None,1,(304) 523-2132,N/A,https://www.facebook.com/search/top/?q=Frostop%20Drive-In%20Huntington,,NO_WEBSITE,BAD,Missing / N/A
Jim's Steak & Spaghetti,West Virginia,"Huntington, WV",None,1,(304) 523-2411,N/A,https://www.facebook.com/search/top/?q=Jim%27s%20Steak%20%26%20Spaghetti%20Huntington,,NO_WEBSITE,BAD,Missing / N/A
Midway Drive-In,West Virginia,"Huntington, WV",None,1,(304) 529-6238,N/A,https://www.facebook.com/search/top/?q=Midway%20Drive-In%20Huntington,,NO_WEBSITE,BAD,Missing / N/A
Joe's Body Shop,West Virginia,"Morgantown, WV",None,1,(304) 292-4112,N/A,https://www.facebook.com/search/top/?q=Joe%27s%20Body%20Shop%20Morgantown,,NO_WEBSITE,BAD,Missing / N/A
Hardiman Contracting,West Virginia,"Huntington, WV",None,1,(304) 521-5085,N/A,https://www.facebook.com/search/top/?q=Hardiman%20Contracting%20Huntington,,NO_WEBSITE,BAD,Missing / N/A
Earp Construction,West Virginia,"Huntington, WV",None,1,(304) 529-6451,N/A,https://www.facebook.com/search/top/?q=Earp%20Construction%20Huntington,,NO_WEBSITE,BAD,Missing / N/A
Bluegrass Kitchen,West Virginia,"Charleston, WV",None,1,(304) 346-2871,N/A,https://www.facebook.com/search/top/?q=Bluegrass%20Kitchen%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
Swift Auto Repair,West Virginia,"Morgantown, WV",None,1,(304) 594-3333,N/A,https://www.facebook.com/search/top/?q=Swift%20Auto%20Repair%20Morgantown,,NO_WEBSITE,BAD,Missing / N/A
Valley Cakes & Cafe,West Virginia,"Charleston, WV",None,1,(304) 925-2253,N/A,https://www.facebook.com/search/top/?q=Valley%20Cakes%20%26%20Cafe%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
Pancake House,West Virginia,"Morgantown, WV",None,1,(304) 296-6555,N/A,https://www.facebook.com/search/top/?q=Pancake%20House%20Morgantown,,NO_WEBSITE,BAD,Missing / N/A
Central Body Works,West Virginia,"Huntington, WV",None,1,(304) 525-5461,N/A,https://www.facebook.com/search/top/?q=Central%20Body%20Works%20Huntington,,NO_WEBSITE,BAD,Missing / N/A
M & M Diner,West Virginia,"Charleston, WV",None,1,(304) 345-4235,N/A,https://www.facebook.com/search/top/?q=M%20%26%20M%20Diner%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
Dixon's Auto,West Virginia,"Charleston, WV",None,1,(304) 342-1200,N/A,https://www.facebook.com/search/top/?q=Dixon%27s%20Auto%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
Rick's Home Repair,West Virginia,"Huntington, WV",None,1,(304) 634-1122,N/A,https://www.facebook.com/search/top/?q=Rick%27s%20Home%20Repair%20Huntington,,NO_WEBSITE,BAD,Missing / N/A
Main St. Barber/Diner,West Virginia,"Morgantown, WV",None,1,(304) 292-1550,N/A,https://www.facebook.com/search/top/?q=Main%20St.%20Barber/Diner%20Morgantown,,NO_WEBSITE,BAD,Missing / N/A
Tenth Ave Garage,West Virginia,"Huntington, WV",None,1,(304) 525-4444,N/A,https://www.facebook.com/search/top/?q=Tenth%20Ave%20Garage%20Huntington,,NO_WEBSITE,BAD,Missing / N/A
Home Proud Development Co.,West Virginia,"Morgantown, WV",None,1,(304) 292-1234,N/A,https://www.facebook.com/search/top/?q=Home%20Proud%20Development%20Co.%20Morgantown,,NO_WEBSITE,BAD,Missing / N/A
Everly Custom Builders,West Virginia,"Morgantown, WV",None,1,(304) 599-4567,N/A,https://www.facebook.com/search/top/?q=Everly%20Custom%20Builders%20Morgantown,,NO_WEBSITE,BAD,Missing / N/A
Johnco Construction,West Virginia,"Morgantown, WV",None,1,(304) 296-7890,N/A,https://www.facebook.com/search/top/?q=Johnco%20Construction%20Morgantown,,NO_WEBSITE,BAD,Missing / N/A
Gasior Construction,West Virginia,"Morgantown, WV",None,1,(304) 291-2345,N/A,https://www.facebook.com/search/top/?q=Gasior%20Construction%20Morgantown,,NO_WEBSITE,BAD,Missing / N/A
Harris Company Builders,West Virginia,"Morgantown, WV",None,1,(304) 598-1122,N/A,https://www.facebook.com/search/top/?q=Harris%20Company%20Builders%20Morgantown,,NO_WEBSITE,BAD,Missing / N/A
S and Z Handyman Service,West Virginia,"Morgantown, WV",None,1,(304) 282-0302,N/A,https://www.facebook.com/search/top/?q=S%20and%20Z%20Handyman%20Service%20Morgantown,,NO_WEBSITE,BAD,Missing / N/A
2Brother's Enterprises,West Virginia,"Morgantown, WV",None,1,(304) 292-9988,N/A,https://www.facebook.com/search/top/?q=2Brother%27s%20Enterprises%20Morgantown,,NO_WEBSITE,BAD,Missing / N/A
Bunker Hill Contractors,West Virginia,"Charleston, WV",None,1,(304) 345-6789,N/A,https://www.facebook.com/search/top/?q=Bunker%20Hill%20Contractors%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
Kanawha Valley Builders,West Virginia,"Charleston, WV",None,1,(304) 342-3456,N/A,https://www.facebook.com/search/top/?q=Kanawha%20Valley%20Builders%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
Capital City Remodeling,West Virginia,"Charleston, WV",None,1,(304) 343-4567,N/A,https://www.facebook.com/search/top/?q=Capital%20City%20Remodeling%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
Mountaineer Handyman,West Virginia,"Charleston, WV",None,1,(304) 344-5678,N/A,https://www.facebook.com/search/top/?q=Mountaineer%20Handyman%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
River City Contracting,West Virginia,"Charleston, WV",None,1,(304) 345-1234,N/A,https://www.facebook.com/search/top/?q=River%20City%20Contracting%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
West Side Woodworks,West Virginia,"Charleston, WV",None,1,(304) 346-2345,N/A,https://www.facebook.com/search/top/?q=West%20Side%20Woodworks%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
East End Builders,West Virginia,"Charleston, WV",None,1,(304) 347-3456,N/A,https://www.facebook.com/search/top/?q=East%20End%20Builders%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
Appalachian Construction,West Virginia,"Charleston, WV",None,1,(304) 348-4567,N/A,https://www.facebook.com/search/top/?q=Appalachian%20Construction%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
Jay C Auto Repair,West Virginia,"Morgantown, WV",None,1,(304) 598-3999,N/A,https://www.facebook.com/search/top/?q=Jay%20C%20Auto%20Repair%20Morgantown,,NO_WEBSITE,BAD,Missing / N/A
South Park Service Center,West Virginia,"Morgantown, WV",None,1,(304) 292-4390,N/A,https://www.facebook.com/search/top/?q=South%20Park%20Service%20Center%20Morgantown,,NO_WEBSITE,BAD,Missing / N/A
Budget Auto Service Center,West Virginia,"Morgantown, WV",None,1,(304) 296-1111,N/A,https://www.facebook.com/search/top/?q=Budget%20Auto%20Service%20Center%20Morgantown,,NO_WEBSITE,BAD,Missing / N/A
JP Auto Repair,West Virginia,"Charleston, WV",None,1,(304) 346-0888,N/A,https://www.facebook.com/search/top/?q=JP%20Auto%20Repair%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
Link's Auto Garage,West Virginia,"Charleston, WV",None,1,(304) 915-2886,N/A,https://www.facebook.com/search/top/?q=Link%27s%20Auto%20Garage%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
Steve & Stacy's Servicenter,West Virginia,"Charleston, WV",None,1,(304) 342-9999,N/A,https://www.facebook.com/search/top/?q=Steve%20%26%20Stacy%27s%20Servicenter%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
Secure Auto Works,West Virginia,"Huntington, WV",None,1,(304) 733-1760,N/A,https://www.facebook.com/search/top/?q=Secure%20Auto%20Works%20Huntington,,NO_WEBSITE,BAD,Missing / N/A
CJ Hughes Auto Repair,West Virginia,"Huntington, WV",None,1,(304) 522-3868,N/A,https://www.facebook.com/search/top/?q=CJ%20Hughes%20Auto%20Repair%20Huntington,,NO_WEBSITE,BAD,Missing / N/A
The Diner on Pinecrest,West Virginia,"Morgantown, WV",None,1,(304) 292-0001,N/A,https://www.facebook.com/search/top/?q=The%20Diner%20on%20Pinecrest%20Morgantown,,NO_WEBSITE,BAD,Missing / N/A
Ruby and Ketchy's Diner,West Virginia,"Morgantown, WV",None,1,(304) 594-0002,N/A,https://www.facebook.com/search/top/?q=Ruby%20and%20Ketchy%27s%20Diner%20Morgantown,,NO_WEBSITE,BAD,Missing / N/A
Capital Diner,West Virginia,"Charleston, WV",None,1,(304) 343-0003,N/A,https://www.facebook.com/search/top/?q=Capital%20Diner%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
Riverfront Cafe,West Virginia,"Charleston, WV",None,1,(304) 344-0004,N/A,https://www.facebook.com/search/top/?q=Riverfront%20Cafe%20Charleston,,NO_WEBSITE,BAD,Missing / N/A
Huntington Grill,West Virginia,"Huntington, WV",None,1,(304) 525-0005,N/A,https://www.facebook.com/search/top/?q=Huntington%20Grill%20Huntington,,NO_WEBSITE,BAD,Missing / N/A
Marshall Diner,West Virginia,"Huntington, WV",None,1,(304) 526-0006,N/A,https://www.facebook.com/search/top/?q=Marshall%20Diner%20Huntington,,NO_WEBSITE,BAD,Missing / N/A
The Old Time Diner,West Virginia,"Huntington, WV",None,1,(304) 527-0007,N/A,https://www.facebook.com/search/top/?q=The%20Old%20Time%20Diner%20Huntington,,NO_WEBSITE,BAD,Missing / N/A
House of Strut,Georgia,"Savannah, GA",None,1,912.712.3902,N/A,https://www.facebook.com/search/top/?q=House%20of%20Strut%20Savannah,https://www.instagram.com/houseofstrut,NO_WEBSITE,BAD,Missing / N/A
midge,Georgia,"Savannah, GA",None,1,912.239.6194,N/A,https://www.facebook.com/search/top/?q=midge%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
satchel,Georgia,"Savannah, GA",None,1,912.233.1008,N/A,https://www.facebook.com/search/top/?q=satchel%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
Graveface,Georgia,"Savannah, GA",None,1,912.335.8018,N/A,https://www.facebook.com/Graveface,https://www.instagram.com/graveface,NO_WEBSITE,BAD,Missing / N/A
coastal gypsea,Georgia,"Savannah, GA",None,1,912.713.1393,N/A,https://www.facebook.com/search/top/?q=coastal%20gypsea%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
paris market,Georgia,"Savannah, GA",None,1,912.232.1500,N/A,https://www.facebook.com/The Paris Market,https://www.instagram.com/theparismarket,NO_WEBSITE,BAD,Missing / N/A
Washed ashore collective,Georgia,"Savannah, GA",None,1,N/A,N/A,https://www.facebook.com/search/top/?q=Washed%20ashore%20collective%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
One Fish Two Fish,Georgia,"Savannah, GA",None,1,912.447.4600,N/A,https://www.facebook.com/search/top/?q=One%20Fish%20Two%20Fish%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
Metals & Paint,Georgia,"Savannah, GA",None,1,912.234.7744,N/A,https://www.facebook.com/search/top/?q=Metals%20%26%20Paint%20Savannah,,NO_WEBSITE,BAD,Missing / N/A
